,Cancelled,CarrierDel,CarrierID,Delays,DepState,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
166,73.0,,,467.0,IN,,4,,2980,,,2000
167,17.0,,,46.0,KS,,4,,499,,,2000
168,151.0,,,952.0,KY,,4,,8335,,,2000
169,40.0,,,757.0,LA,,4,,5012,,,2000
170,611.0,,,1548.0,MA,,4,,9147,,,2000
171,70.0,,,1364.0,MD,,4,,7148,,,2000
172,11.0,,,53.0,ME,,4,,470,,,2000
173,325.0,,,2317.0,MI,,4,,13929,,,2000
174,279.0,,,1576.0,MN,,4,,12158,,,2000
175,251.0,,,3259.0,MO,,4,,19288,,,2000
176,14.0,,,87.0,MS,,4,,841,,,2000
177,20.0,,,49.0,MT,,4,,875,,,2000
178,359.0,,,2673.0,NC,,4,,15269,,,2000
179,7.0,,,34.0,ND,,4,,497,,,2000
180,23.0,,,212.0,NE,,4,,1664,,,2000
181,12.0,,,170.0,NH,,4,,1110,,,2000
182,411.0,,,2094.0,NJ,,4,,10224,,,2000
183,28.0,,,489.0,NM,,4,,3005,,,2000
184,228.0,,,3304.0,NV,,4,,14226,,,2000
185,659.0,,,2893.0,NY,,4,,17334,,,2000
186,182.0,,,1136.0,OH,,4,,8738,,,2000
187,45.0,,,443.0,OK,,4,,3324,,,2000
188,145.0,,,806.0,OR,,4,,5037,,,2000
189,632.0,,,3869.0,PA,,4,,19799,,,2000
190,20.0,,,323.0,PR,,4,,2129,,,2000
191,24.0,,,250.0,RI,,4,,2052,,,2000
192,44.0,,,240.0,SC,,4,,1811,,,2000
193,6.0,,,21.0,SD,,4,,402,,,2000
194,127.0,,,1452.0,TN,,4,,9692,,,2000
195,1061.0,,,8269.0,TX,,4,,49978,,,2000
196,93.0,,,748.0,UT,,4,,6501,,,2000
197,502.0,,,2184.0,VA,,4,,15130,,,2000
198,0.0,,,27.0,VI,,4,,309,,,2000
199,15.0,,,46.0,VT,,4,,210,,,2000
200,306.0,,,1641.0,WA,,4,,9540,,,2000
201,46.0,,,166.0,WI,,4,,1900,,,2000
202,9.0,,,10.0,WV,,4,,90,,,2000
203,0.0,,,0.0,WY,,4,,5,,,2000
204,182.0,,,521.0,AK,,5,,3718,,,2000
205,47.0,,,311.0,AL,,5,,2688,,,2000
206,16.0,,,167.0,AR,,5,,1143,,,2000
207,406.0,,,4017.0,AZ,,5,,17689,,,2000
208,2353.0,,,12246.0,CA,,5,,59471,,,2000
209,613.0,,,3201.0,CO,,5,,12734,,,2000
210,117.0,,,431.0,CT,,5,,3072,,,2000
211,518.0,,,4595.0,FL,,5,,30313,,,2000
212,564.0,,,3508.0,GA,,5,,23028,,,2000
213,27.0,,,150.0,HI,,5,,1469,,,2000
214,61.0,,,156.0,IA,,5,,1080,,,2000
215,13.0,,,135.0,ID,,5,,1060,,,2000
216,2264.0,,,7568.0,IL,,5,,30341,,,2000
217,98.0,,,490.0,IN,,5,,3096,,,2000
218,35.0,,,69.0,KS,,5,,512,,,2000
219,205.0,,,1074.0,KY,,5,,8585,,,2000
220,73.0,,,731.0,LA,,5,,5164,,,2000
221,644.0,,,1524.0,MA,,5,,9301,,,2000
222,142.0,,,1653.0,MD,,5,,7699,,,2000
223,23.0,,,53.0,ME,,5,,492,,,2000
224,511.0,,,2682.0,MI,,5,,14540,,,2000
225,308.0,,,1903.0,MN,,5,,12471,,,2000
226,427.0,,,4036.0,MO,,5,,19917,,,2000
227,11.0,,,107.0,MS,,5,,857,,,2000
228,17.0,,,82.0,MT,,5,,893,,,2000
229,445.0,,,2461.0,NC,,5,,16052,,,2000
230,2.0,,,23.0,ND,,5,,493,,,2000
231,42.0,,,284.0,NE,,5,,1728,,,2000
232,36.0,,,183.0,NH,,5,,1156,,,2000
233,627.0,,,1960.0,NJ,,5,,10506,,,2000
234,34.0,,,538.0,NM,,5,,3121,,,2000
235,269.0,,,3432.0,NV,,5,,14676,,,2000
236,991.0,,,2903.0,NY,,5,,18309,,,2000
237,278.0,,,1282.0,OH,,5,,8892,,,2000
238,47.0,,,586.0,OK,,5,,3384,,,2000
239,141.0,,,909.0,OR,,5,,5134,,,2000
240,840.0,,,3877.0,PA,,5,,20728,,,2000
241,19.0,,,233.0,PR,,5,,2028,,,2000
242,59.0,,,349.0,RI,,5,,2150,,,2000
243,70.0,,,165.0,SC,,5,,1859,,,2000
244,5.0,,,30.0,SD,,5,,431,,,2000
245,184.0,,,1633.0,TN,,5,,10042,,,2000
246,1324.0,,,9716.0,TX,,5,,51926,,,2000
247,161.0,,,877.0,UT,,5,,6770,,,2000
248,853.0,,,2213.0,VA,,5,,15655,,,2000
249,2.0,,,27.0,VI,,5,,282,,,2000
250,14.0,,,27.0,VT,,5,,217,,,2000
251,308.0,,,1929.0,WA,,5,,10060,,,2000
252,83.0,,,174.0,WI,,5,,1869,,,2000
253,4.0,,,11.0,WV,,5,,108,,,2000
254,177.0,,,1068.0,AK,,6,,4174,,,2000
255,56.0,,,420.0,AL,,6,,2532,,,2000
256,15.0,,,256.0,AR,,6,,1135,,,2000
257,471.0,,,5217.0,AZ,,6,,17026,,,2000
258,1805.0,,,15439.0,CA,,6,,58434,,,2000
259,524.0,,,4415.0,CO,,6,,12835,,,2000
260,94.0,,,610.0,CT,,6,,3034,,,2000
261,691.0,,,6378.0,FL,,6,,29053,,,2000
262,583.0,,,4959.0,GA,,6,,22466,,,2000
263,12.0,,,157.0,HI,,6,,1404,,,2000
264,72.0,,,197.0,IA,,6,,1056,,,2000
265,13.0,,,236.0,ID,,6,,1082,,,2000
266,2302.0,,,9732.0,IL,,6,,29636,,,2000
267,118.0,,,636.0,IN,,6,,3044,,,2000
268,34.0,,,116.0,KS,,6,,547,,,2000
269,227.0,,,1554.0,KY,,6,,8313,,,2000
270,98.0,,,933.0,LA,,6,,5073,,,2000
271,784.0,,,2297.0,MA,,6,,9131,,,2000
272,204.0,,,2098.0,MD,,6,,7508,,,2000
273,22.0,,,110.0,ME,,6,,496,,,2000
274,545.0,,,3233.0,MI,,6,,14279,,,2000
275,373.0,,,2560.0,MN,,6,,12865,,,2000
276,497.0,,,5412.0,MO,,6,,19729,,,2000
277,10.0,,,121.0,MS,,6,,828,,,2000
278,11.0,,,85.0,MT,,6,,939,,,2000
279,631.0,,,3738.0,NC,,6,,15577,,,2000
280,5.0,,,39.0,ND,,6,,486,,,2000
281,39.0,,,392.0,NE,,6,,1693,,,2000
282,22.0,,,281.0,NH,,6,,1129,,,2000
283,839.0,,,2442.0,NJ,,6,,10349,,,2000
