,Cancelled,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
153,1058.0,,Northwest Airlines Inc.,6120.0,,3,,46587,,,2001
154,411.0,,Trans World Airways LLC,2983.0,,3,,21819,,,2001
155,2634.0,,United Air Lines Inc.,12617.0,,3,,64102,,,2001
156,2562.0,,US Airways,10956.0,,3,,63404,,,2001
157,635.0,,Southwest Airlines Co.,17233.0,,3,,80806,,,2001
158,1727.0,,American Airlines Inc.,8900.0,,4,,62332,,,2001
159,195.0,,Alaska Airlines Inc.,2619.0,,4,,12791,,,2001
160,209.0,,Continental Air Lines Inc.,3326.0,,4,,33101,,,2001
161,1432.0,,Delta Air Lines Inc.,9061.0,,4,,72243,,,2001
162,365.0,,US Airways,3232.0,,4,,17832,,,2001
163,47.0,,KH,520.0,,4,,5344,,,2001
164,2185.0,,American Eagle Airlines Inc.,9073.0,,4,,41858,,,2001
165,842.0,,Northwest Airlines Inc.,5978.0,,4,,45488,,,2001
166,422.0,,Trans World Airways LLC,2277.0,,4,,20799,,,2001
167,2350.0,,United Air Lines Inc.,12746.0,,4,,61722,,,2001
168,1061.0,,US Airways,7559.0,,4,,61582,,,2001
169,579.0,,Southwest Airlines Co.,14232.0,,4,,79095,,,2001
170,1563.0,,American Airlines Inc.,8395.0,,5,,64075,,,2001
171,233.0,,Alaska Airlines Inc.,2065.0,,5,,13598,,,2001
172,245.0,,Continental Air Lines Inc.,3066.0,,5,,33286,,,2001
173,1522.0,,Delta Air Lines Inc.,7752.0,,5,,73793,,,2001
174,360.0,,US Airways,2823.0,,5,,18282,,,2001
175,118.0,,KH,494.0,,5,,5635,,,2001
176,1837.0,,American Eagle Airlines Inc.,9590.0,,5,,43282,,,2001
177,593.0,,Northwest Airlines Inc.,5175.0,,5,,47345,,,2001
178,170.0,,Trans World Airways LLC,2201.0,,5,,21909,,,2001
179,1276.0,,United Air Lines Inc.,10423.0,,5,,63938,,,2001
180,953.0,,US Airways,7558.0,,5,,63437,,,2001
181,582.0,,Southwest Airlines Co.,12857.0,,5,,81360,,,2001
182,2111.0,,American Airlines Inc.,10665.0,,6,,62691,,,2001
183,312.0,,Alaska Airlines Inc.,3200.0,,6,,14100,,,2001
184,962.0,,Continental Air Lines Inc.,5189.0,,6,,32631,,,2001
185,2524.0,,Delta Air Lines Inc.,13464.0,,6,,72066,,,2001
186,337.0,,US Airways,3260.0,,6,,17923,,,2001
187,182.0,,KH,938.0,,6,,5782,,,2001
188,2388.0,,American Eagle Airlines Inc.,10437.0,,6,,41830,,,2001
189,1234.0,,Northwest Airlines Inc.,6736.0,,6,,47169,,,2001
190,396.0,,Trans World Airways LLC,3312.0,,6,,21738,,,2001
191,2565.0,,United Air Lines Inc.,12549.0,,6,,64155,,,2001
192,1717.0,,US Airways,10362.0,,6,,60530,,,2001
193,781.0,,Southwest Airlines Co.,15018.0,,6,,79615,,,2001
194,1693.0,,American Airlines Inc.,10004.0,,7,,65232,,,2001
195,265.0,,Alaska Airlines Inc.,3463.0,,7,,15095,,,2001
196,352.0,,Continental Air Lines Inc.,4000.0,,7,,33555,,,2001
197,1990.0,,Delta Air Lines Inc.,11185.0,,7,,74288,,,2001
198,363.0,,US Airways,3740.0,,7,,18647,,,2001
199,115.0,,KH,789.0,,7,,6034,,,2001
200,1918.0,,American Eagle Airlines Inc.,9225.0,,7,,43379,,,2001
201,663.0,,Northwest Airlines Inc.,6934.0,,7,,49433,,,2001
202,261.0,,Trans World Airways LLC,3006.0,,7,,22272,,,2001
203,1826.0,,United Air Lines Inc.,14728.0,,7,,66026,,,2001
204,1271.0,,US Airways,8998.0,,7,,61545,,,2001
205,569.0,,Southwest Airlines Co.,14720.0,,7,,82934,,,2001
206,2186.0,,American Airlines Inc.,11001.0,,8,,65542,,,2001
207,282.0,,Alaska Airlines Inc.,4228.0,,8,,15124,,,2001
208,492.0,,Continental Air Lines Inc.,5206.0,,8,,35116,,,2001
209,2191.0,,Delta Air Lines Inc.,11288.0,,8,,74892,,,2001
210,398.0,,US Airways,4234.0,,8,,19015,,,2001
211,71.0,,KH,725.0,,8,,5912,,,2001
212,2378.0,,American Eagle Airlines Inc.,9249.0,,8,,43824,,,2001
213,771.0,,Northwest Airlines Inc.,6637.0,,8,,49821,,,2001
214,318.0,,Trans World Airways LLC,2481.0,,8,,22364,,,2001
215,1909.0,,United Air Lines Inc.,14991.0,,8,,66646,,,2001
216,1671.0,,US Airways,10789.0,,8,,62264,,,2001
217,651.0,,Southwest Airlines Co.,15493.0,,8,,83831,,,2001
218,12555.0,,American Airlines Inc.,11119.0,,9,,55846,,,2001
219,2735.0,,Alaska Airlines Inc.,1547.0,,9,,13002,,,2001
220,6500.0,,Continental Air Lines Inc.,2759.0,,9,,29893,,,2001
221,12379.0,,Delta Air Lines Inc.,7313.0,,9,,67821,,,2001
